1005,TCB_05_T1,TCB_05_T2,TCB_05_T3,TCG_05_T1,TCG_05_T2,TCG_05_T3,TCW_05_T1,TCW_05_T2,TCW_05_T3,blue_05_T1,blue_05_T2,blue_05_T3,green_05_T1,green_05_T2,green_05_T3,mndwi_05_T1,mndwi_05_T2,mndwi_05_T3,ndmi_05_T1,ndmi_05_T2,ndmi_05_T3,ndvi_05_T1,ndvi_05_T2,ndvi_05_T3,ndwi_05_T1,ndwi_05_T2,ndwi_05_T3,nir_05_T1,nir_05_T2,nir_05_T3,red_05_T1,red_05_T2,red_05_T3,swir1_05_T1,swir1_05_T2,swir1_05_T3,swir2_05_T1,swir2_05_T2,swir2_05_T3,.geo
0,2711.2147,2704.8996,2468.3503,586.2633,577.5293,309.8513,-931.4625,-933.2159,-1098.3012,531,531,568,826,856,745,-0.3944281525,-0.3675655707,-0.3267058292,0.1103327496,0.09688888889,-0.04953059242,0.3792603336,0.3675655707,0.2877192982,-0.2970212766,-0.2806722689,-0.3702451395,1902,1851,1468,856,826,812,1524,1524,1621,1048,1048,1063,
0,3155.5436,2599.7543,2261.6392,2280.2417,1558.1569,1052.1419,-749.6594,-824.9499,-808.8255,280,268,369,519,390,478,-0.7476908119,-0.736219141,-0.6109076109,0.376076555,0.2473275024,0.1672073135,0.8042659975,0.736219141,0.622796228,-0.516984644,-0.5977307891,-0.4941798942,3595,2567,1979,390,519,460,1630,1549,1412,703,678,678,
0,2617.0609,2428.8863,1823.941,1741.5116,1488.804,972.2662,-553.8013,-606.9893,-356.2736,272,253,307,577,360,415,-0.6638998107,-0.7444089457,-0.6164510166,0.3683832335,0.3167202572,0.3270106222,0.7543374789,0.7444089457,0.6361085126,-0.3911896597,-0.5596330275,-0.3625192012,2856.5,2457,1749,400,559,389,1318.5,1275,887,598,595,402,
0,4393.78665,3857.6417,4056.9795,2077.5074,1340.63695,1295.5032,-1257.527,-1561.99555,-1546.5182,743,643,742,998,925,1018,-0.6046741929,-0.5276997702,-0.5013470487,0.247229064,0.09466752035,0.08361322256,0.6118571571,0.5276997702,0.4781769954,-0.4202730177,-0.4558023239,-0.4360110803,4051,2992,3065,975.5,965.5,1082,2445,2474.5,2592,1254,1403,1368,
0,3824.75595,3492.2661,3351.3936,943.82465,1051.5525,1123.8156,-1836.97525,-1672.93345,-1471.4926,623,607,605,942.5,881.5,813,-0.4760978321,-0.4849547181,-0.5157832043,0.02786916973,0.02314814815,0.06085869112,0.4499044499,0.4849547181,0.5280696488,-0.4542559351,-0.4670495768,-0.469667319,2655.5,2541.5,2545,1007.5,799,786,2511.5,2426.5,2253,1525,1441.5,1262,
0,3185.3118,2998.6275,3047.441,1397.6729,946.4599,506.3556,-1414.5488,-1678.039,-1909.9747,345.5,402,505,631.5,709,749,-0.6295101203,-0.5060954371,-0.4113948919,0.1049229239,-0.0442086649,-0.176146789,0.6188255865,0.5060954371,0.3585476551,-0.5616866216,-0.5382611527,-0.5478418352,2777.5,2162,1796,654,613,848,2250,2362,2564,1082,1263,1443,
0,941.3352,876.3678,463.5669,-243.9744,-212.1007,-67.8389,160.5395,193.8892,11.318,280.5,327,172,507,475,277,0.1641791045,0.1459589867,0.1329243354,0.2896368468,0.4936708861,0.2809667674,-0.03957783641,-0.1459589867,-0.03854875283,0.4332155477,0.5966386555,0.398989899,364,354,212,394,670,229,200.5,120,119,117,121,121,
1,627.26405,736.0564,819.471,238.2905,195.4696,46.3217,-15.24325,-141.3691,-166.6628,155,147,316,221,231,283,-0.4237288136,-0.4038709677,-0.2513227513,0.4746792708,0.1826086957,0.07134767837,0.4989704873,0.4038709677,0.1664611591,0.06377858002,-0.2388797364,-0.1832611833,546,544,473,182.5,265,338,194.5,376,410,124.5,167,221,
1,1366.3896,1410.9104,1200.5438,740.1131,716.2862,331.7313,-380.60665,-426.8829,-471.2771,183,185,316,316,270,351,-0.6075752872,-0.6547314578,-0.4241181296,0.2510268181,0.2242194891,0.08771929825,0.6822612086,0.6547314578,0.5056374675,-0.4207149404,-0.504587156,-0.3493975904,1294.5,1294,868,244.5,331,285,775,820,728,335.5,379,464,
0,2409.5327,1857.9907,1892.8014,1640.7597,1231.4267,858.41675,-530.9677,-424.3993,-629.1736,288,246,300,485,224,448.5,-0.6827992152,-0.7945896378,-0.5726536446,0.3411519416,0.3422496571,0.1955813111,0.7861853523,0.7945896378,0.617344439,-0.4453973699,-0.6213017751,-0.4246311738,2573,1957,1650.5,308,407,390.5,1264,959,1110.5,464,398,585.5,
0,2339.3133,1868.6347,1947.43755,1617.705,1163.544,757.2801,-410.9721,-419.2266,-656.7642,229,233,309.5,481,258,503.5,-0.6816677697,-0.7624309392,-0.520818463,0.3881453155,0.3469387755,0.1679152202,0.7670375522,0.7624309392,0.5525868351,-0.3991255465,-0.5649241147,-0.3867235079,2541,1914,1598,335,451,460.5,1120,928,1138.5,429,444,640,
