"","response_var","TCG_15_T1","mndwi_15_T2","ndvi_15_T3","swir1_15_T3"
"1",0,568.61785,-0.398902104,0.402277904,1473.5
"2",0,2234.42715,-0.792802617,0.75564409,1314.5
"3",0,1468.5582,-0.706051873,0.796358041,830.5
"4",0,-124.83565,-0.111241907,0.0610552,3539.5
"5",0,1126.2464,-0.546270331,0.636923867,2403
"6",0,1798.37915,-0.737510955,0.719917012,2356.5
"7",0,39.46935,0.062068966,-0.126684636,67.5
"8",1,750.43535,-0.618628068,0.583054627,195.5
"9",1,1082.3855,-0.673402512,0.545977011,430.5
"10",0,1477.39705,-0.690571533,0.574950033,1095
"11",0,1567.0237,-0.706401766,0.555417957,1210
"12",0,377.7815,-0.136094675,-0.194029851,139
"13",0,1855.624,-0.772815534,0.71125,876
"14",0,2211.4704,-0.656192237,0.676634567,2477
"15",0,1126.9231,-0.671981777,0.482738444,961
"16",0,1854.6006,-0.779792746,0.596584845,1138
"17",0,816.0292,-0.590797331,0.554305663,2082
"18",0,1409.9231,-0.673563218,0.761971437,833
"19",0,1835.1019,-0.712926509,0.665668663,1304
"20",0,2492.5376,-0.814639736,0.837250088,1064
"21",0,1520.1467,-0.670525716,0.740009629,1079
"22",1,997.9908,-0.617873652,0.42259887,1045
"23",0,-231.1794,0.42519685,-0.676579926,46
"24",0,1845.3682,-0.694721447,0.624575311,2303
"25",0,2717.9453,-0.782603592,0.693914081,1705
"26",0,2157.4927,-0.728502169,0.664158893,1822
"27",0,-107.4478,0.234070221,-0.253164557,37
"28",0,-97.8707,0.222636816,-0.297709924,27
"29",0,-144.6108,0.284690554,-0.348148148,23
"30",0,-129.1362,0.244074311,-0.426470588,25
"31",1,1151.8714,-0.623815067,0.701849837,621
"32",1,1455.0673,-0.636189171,0.628127113,518
"33",1,875.2889,-0.594732116,0.292771084,1163
"34",0,1199.5615,-0.650912288,0.713071201,722
"35",0,1706.1215,-0.73530817,0.660516605,1303
"36",0,-159.248,0.483636364,-0.371069182,24
"37",0,-372.9151,0.679715302,-0.580152672,30
"38",0,-360.7755,0.621169916,-0.560693642,56
"39",0,-445.3396,0.617177914,-0.548780488,58
"40",0,-438.1016,0.602950215,-0.498023715,63
"41",0,-41.6679,0.236641221,-0.123028391,35
"42",0,-43.6768,0.266932271,-0.138047138,30.5
"43",1,175.2771,-0.505665722,0.35298103,764
"44",1,258.3536,-0.571354972,0.541643685,884.5
"45",1,449.9303,-0.47101932,0.338932214,1010
"46",1,161.4158,-0.6,0.648842777,719.5
"47",1,238.9587,-0.567296997,0.50571066,670
"48",0,2715.4773,-0.793585725,0.699778024,1739
"49",0,2642.9107,-0.752469059,0.683457526,1603
"50",1,1129.6973,-0.698829229,0.427618412,689.5
"51",1,1025.1468,-0.688745981,0.446775447,575.5
"52",1,1076.1155,-0.702814952,0.508076358,582.5
"53",1,880.8632,-0.61097027,0.637368157,367.5
"54",1,1077.2285,-0.627071272,0.638867636,498
"55",1,1203.5437,-0.714364794,0.687924016,736
"56",1,1031.3525,-0.672419106,0.687804878,680
"57",1,1255.7344,-0.705604883,0.630817775,966.5
"58",1,-7.7999,-0.412858249,0.56432247,311
"59",1,23.3184,-0.390045249,0.54527163,244
"60",1,25.5136,-0.415789474,0.56851312,203
"61",0,-46.2666,0.427480916,-0.318918919,23.5
"62",1,85.3338,-0.337155963,0.335813953,123.5
"63",0,1198.2609,-0.56466877,0.523330784,3160.5
"64",0,736.9429,-0.52146789,0.471553611,1752
"65",1,85.4832,-0.429145729,0.397688647,286
"66",1,57.735,-0.536639526,0.624167947,400.5
"67",1,138.8145,-0.668089142,0.715558195,656
"68",1,147.2383,-0.658248254,0.717741935,597.5
"69",0,580.7008,-0.312190864,-0.019230769,46.5
"70",0,497.0752,-0.276315789,-0.006535948,54.5
"71",1,1103.5774,-0.565302782,0.742902711,682.5
"72",1,1386.4175,-0.587911223,0.751813054,830.5
"73",1,215.2884,-0.540856031,0.600173837,475.5
"74",1,44.4377,-0.541149944,0.615831518,514
"75",1,315.9079,-0.535031847,0.549194991,449.5
"76",1,893.1243,-0.610047847,0.718332022,744
"77",1,491.9669,-0.593325093,0.684380032,477
"78",1,431.2047,-0.560379919,0.642489471,428
"79",0,-74.0671,0.16550765,-0.176151762,45.5
"80",0,87.3694,-0.230329041,0.186282151,337
"81",1,1630.8026,-0.719378297,0.596150354,1653.5
"82",1,1499.2292,-0.635499208,0.754826704,831.5
"83",1,2102.493,-0.649543807,0.761817347,844.5
"84",1,1260.0945,-0.672671522,0.67391935,752
"85",1,1189.9768,-0.619250038,0.760707378,714.5
"86",1,1378.7193,-0.64452196,0.676426426,580
"87",1,88.1952,-0.399271213,0.630850363,276
"88",1,596.2676,-0.606018519,0.74287954,807.5
"89",0,696.8726,-0.616086516,0.432619837,1510
"90",0,986.3244,-0.682252142,0.692124814,924
"91",1,796.463,-0.666029805,0.301922352,591
"92",1,765.1198,-0.697705403,0.296539379,814
"93",1,244.3697,-0.447058824,0.414675768,288.5
"94",1,704.0685,-0.630750232,0.386543536,368
"95",1,775.2765,-0.608947368,0.405370007,407.5
"96",1,388.9131,-0.4644727,0.604284104,353.5
"97",1,648.2282,-0.563081326,0.634951456,475
"98",1,490.032,-0.568756154,0.714166667,451.5
"99",1,357.4466,-0.586379256,0.738724728,487.5
"100",1,266.2489,-0.583533943,0.513030529,626
"101",1,539.8272,-0.675404175,0.542244077,1072
"102",1,581.167,-0.674977197,0.626115166,1006
"103",1,451.8343,-0.663593668,0.576311988,925
"104",1,554.3867,-0.64312123,0.664219285,787
"105",1,570.4618,-0.66211923,0.663690476,765
"106",1,547.7528,-0.659871058,0.646252677,915
"107",0,-123.2029,-0.08787062,-0.23297491,57
"108",0,108.924,-0.028801072,-0.090909091,56
"109",0,1193.0266,-0.545617757,0.432686287,2672
"110",0,2103.5233,-0.670988258,0.679083095,2337
"111",0,2548.6918,-0.736057897,0.748332592,1473
"112",0,2806.6535,-0.742146597,0.71004663,1788
"113",0,576.0598,-0.476906552,0.540616246,862
"114",0,583.7017,-0.331890332,0.357206804,499
"115",0,2191.9638,-0.566128067,0.544303797,2564
"116",0,1669.4339,-0.688426111,0.778384279,903
"117",1,1307.7718,-0.65960847,0.416182387,1319
"118",1,1021.3306,-0.638003839,0.599765258,951
"119",0,2329.3794,-0.731510791,0.818729097,1188
"120",0,1845.109,-0.67499612,0.65420185,1243
"121",1,703.3942,-0.559618442,0.661612131,521
"122",0,2049.3969,-0.672101213,0.674708593,2597
"123",0,1954.9287,-0.685493083,0.713248639,2708
"124",0,625.2263,-0.435312419,0.515513126,758
"125",0,1657.5473,-0.662258631,0.729551785,2151
"126",0,969.0134,-0.471872035,0.490051165,2142
"127",0,575.9023,-0.419090231,0.438882421,313
"128",0,2489.7434,-0.789642285,0.757000243,1280.5
"129",0,1212.03955,-0.531509788,0.519562716,1838.5
"130",0,2130.7811,-0.67746529,0.77650189,2128.5
"131",0,2435.6905,-0.745658836,0.697881066,1488
"132",1,535.9606,-0.453762351,0.522051282,276
"133",1,600.722,-0.455189322,0.456702254,263
"134",1,765.6602,-0.561828447,0.686252772,732
"135",1,481.1157,-0.46343949,0.532004197,357
"136",1,925.8295,-0.564162056,0.646675359,595
"137",1,501.7706,-0.443720379,0.602076125,356
"138",0,-294.354,0.101101101,-0.520782396,51
"139",0,-334.9842,0.176470588,-0.571717172,58
"140",0,-372.8261,0.151952462,-0.639514731,63
"141",1,1174.0246,-0.609083851,0.584379358,533
"142",1,964.0431,-0.594797399,0.680438029,812
"143",1,961.2344,-0.590497738,0.601066667,564
"144",1,1422.5182,-0.651403997,0.701981707,1120
"145",1,727.7142,-0.553711595,0.615444015,485
"146",1,1142.1009,-0.641941075,0.694789082,679
"147",1,887.3302,-0.599324324,0.685173887,684
"148",1,506.0584,-0.507725476,0.504132231,236
"149",1,1161.7111,-0.634085213,0.655757576,614
"150",0,-87.4332,0.093220339,-0.135135135,41
"151",0,-82.78265,0.081285444,-0.171270718,37
"152",1,1023.82645,-0.555074034,0.465020576,458
"153",1,2025.33645,-0.539524599,0.513739546,740
"154",1,1723.891,-0.575811209,0.482233503,764
"155",1,1636.067,-0.594159714,0.525088339,495
"156",0,-133.6751,0.099593496,-0.333333333,38
"157",0,634.948,-0.510616081,0.524733269,471
"158",0,1574.1691,-0.668777074,0.590206186,1358
"159",0,1157.9196,-0.52600365,0.573234984,997
"160",0,2513.0226,-0.727804215,0.737076344,1684
"161",0,2061.7191,-0.711926357,0.743969122,1606
"162",0,355.1351,-0.513513514,0.35154827,252
"163",1,1258.1222,-0.56340819,0.668717949,703
"164",0,1601.04805,-0.639544571,0.637852593,1719
"165",1,741.1374,-0.54787234,0.490129724,732
"166",0,2004.21005,-0.686413043,0.704299412,1557
"167",1,1448.9656,-0.6004001,0.590763766,1278
"168",1,1824.91095,-0.640372366,0.526932084,1083
"169",0,2402.30065,-0.766666667,0.776458952,1666
"170",0,1708.77815,-0.694966646,0.716257669,1329
"171",1,1279.9713,-0.605580216,0.624581006,692
"172",1,1712.5445,-0.587972167,0.732047872,1101
"173",1,1268.93895,-0.557377049,0.70917226,913
"174",0,-115.2131,0.162241888,-0.264197531,98
"175",0,-143.63755,0.339712919,-0.121495327,72
"176",0,-144.03345,0.35483871,-0.037656904,90
"177",0,2455.288,-0.773815859,0.821221865,1428
"178",0,1078.01925,-0.66163142,0.769478429,714
"179",0,1078.44465,-0.667866324,0.778881988,714
"180",0,-126.10035,0.138157895,-0.355555556,27
"181",0,2110.6515,-0.78111588,0.416481069,2490
"182",0,2606.17075,-0.787339268,0.858511838,1543
"183",0,1827.60585,-0.719631236,0.722376458,1596
"184",0,-28.54815,-0.238095238,-0.045685279,50
"185",0,2545.23285,-0.784241142,0.856382979,1373
"186",0,2464.8783,-0.791420912,0.840220386,1396
"187",0,15.20755,-0.241245136,0.021097046,72
"188",0,2113.9532,-0.773088174,0.367099032,3345
"189",0,400.43195,-0.606458123,0.556103576,415
"190",0,-46.0079,-0.051903114,-0.233201581,45
"191",0,1472.9604,-0.627526222,0.568538189,2399
"192",0,349.1047,-0.225,-0.106557377,58
"193",0,2057.03665,-0.704018913,0.765654394,1934
"194",0,-158.49205,0.350140056,-0.369047619,51
"195",0,-163.0778,0.396648045,-0.380952381,54
"196",0,-156.4972,0.362997658,-0.063829787,104
"197",0,-158.1465,0.404814004,-0.248979592,74
"198",0,2111.955,-0.791133591,0.86039783,1198
"199",0,1728.6769,-0.683837558,0.696566999,2388
"200",0,2045.5141,-0.659922929,0.781521184,2140
"201",0,1176.75645,-0.688022284,0.800791557,676
"202",0,726.13245,-0.424910608,0.418859001,1844
"203",0,2422.37865,-0.738222222,0.684902559,2686
"204",0,2343.6507,-0.729060059,0.800395257,1563
"205",0,1867.1864,-0.629135802,0.783236262,2420
"206",0,1286.94395,-0.537061814,0.463906293,2230
"207",0,1838.89875,-0.619959677,0.675736325,1818
"208",0,1984.72835,-0.660535996,0.701394586,1493
"209",0,2830.91315,-0.666772119,0.709833024,2138
"210",0,1381.4234,-0.689814815,0.785794814,884
"211",0,2092.45595,-0.667240108,0.722546567,2154
"212",0,1831.77815,-0.626389285,0.680602007,1429
"213",0,2783.4637,-0.72865549,0.821437841,1586
"214",1,1021.80755,-0.504926108,0.68503937,536
"215",0,2140.76835,-0.672529747,0.710435117,1462
"216",0,2689.8116,-0.70567088,0.781818182,1675
"217",0,2908.4534,-0.723939459,0.805128205,1717
"218",1,1065.7059,-0.620244078,0.588839941,403
"219",1,897.6207,-0.607535322,0.523965142,372.5
"220",1,1209.1499,-0.630948527,0.647845468,530
"221",1,740.67435,-0.566945607,0.75020145,457.5
"222",0,1524.9654,-0.623891001,0.766536965,907
"223",0,2251.72095,-0.605137314,0.46029035,1507
"224",0,2401.8799,-0.668778072,0.735222952,1536
"225",0,2704.12725,-0.692881567,0.624219125,2847
"226",0,1429.408,-0.562588447,0.599100365,1867
"227",0,2478.8063,-0.729117973,0.787069988,1448
"228",0,2397.20855,-0.72014081,0.790127106,1434
"229",1,1251.1703,-0.67819063,0.669902913,1450
"230",1,1143.4817,-0.66970684,0.654085045,1390
"231",1,792.2879,-0.640990991,0.680735931,1103
"232",1,717.7093,-0.626521739,0.594670407,889
"233",1,1052.7743,-0.633497537,0.315030885,358.5
"234",0,-28.5009,0.167235495,-0.313807531,36.5
"235",0,-16.2417,0.157894737,-0.284116331,29.5
"236",0,1817.39825,-0.660593441,0.673537604,1952
"237",0,1989.037,-0.608717689,0.668972585,2184.5
"238",0,551.105,-0.463282937,0.393214227,2145
"239",0,367.73565,-0.393099548,0.26624,1758.5
"240",0,2550.1001,-0.818535636,0.711305644,1490
"241",0,1646.2154,-0.602009489,0.689045108,2474
"242",1,2054.17565,-0.748359707,0.477163186,1224.5
"243",1,769.6161,-0.56015866,0.516376307,278.5
"244",1,1440.09275,-0.669774436,0.549143944,889.5
"245",1,1164.8047,-0.623832528,0.605927922,643.5
"246",1,1029.37075,-0.607568325,0.648010789,643
"247",1,783.0625,-0.581967213,0.629789066,516
"248",1,1492.14495,-0.710900474,0.541158863,1484
"249",1,1163.90525,-0.63030303,0.470142977,612
"250",1,1327.9328,-0.690072639,0.430420712,928
"251",1,1151.9695,-0.68065747,0.448323066,597.5
"252",1,1235.19675,-0.687905605,0.548690791,890.5
"253",1,986.6608,-0.679583198,0.442351168,624
"254",1,787.75875,-0.653094463,0.490032452,466.5
"255",1,938.8173,-0.696371962,0.457627119,586
"256",1,798.7707,-0.575865129,0.515070328,298.5
"257",1,800.7295,-0.588383838,0.506713781,277
"258",1,657.6532,-0.568330812,0.505668934,445.5
"259",1,1959.88135,-0.747654784,0.561643836,1762
"260",1,1731.60135,-0.725511596,0.544459382,1960.5
"261",1,1562.44465,-0.706760793,0.49970173,1852
"262",1,1535.4207,-0.716770862,0.505675955,1195
"263",1,1139.86205,-0.665985003,0.356493854,592
"264",1,1086.67005,-0.680056378,0.325934579,422
"265",1,988.5353,-0.661230541,0.319809069,392
"266",1,1088.03005,-0.652115514,0.337078652,522
"267",1,1429.94,-0.701645535,0.387617066,1154
"268",1,1210.3111,-0.676078188,0.393069653,882.5
"269",0,105.7066,-0.212871287,0.219653179,368.5
"270",0,-5.9519,0.02189781,-0.147826087,39.5
"271",0,811.3772,-0.633089477,0.460923077,1226
"272",0,51.7687,-0.106508876,-0.008375209,90.5
"273",1,678.4003,-0.547062179,0.564182843,305.5
"274",1,827.8366,-0.580661578,0.49261745,410
"275",1,910.59005,-0.617077465,0.619291507,633
"276",1,696.44705,-0.577124869,0.411013567,213.5
"277",1,1098.3793,-0.685616438,0.33622291,446
"278",1,1068.03935,-0.682105965,0.316681534,748
"279",1,933.07955,-0.670809793,0.351860575,670.5
"280",1,1255.92465,-0.693069307,0.393833217,885
"281",1,701.4557,-0.599799398,0.316516517,428
"282",1,919.69765,-0.647607935,0.3582584,555
"283",1,471.94175,-0.454782043,0.326500732,99
"284",1,548.74115,-0.556503198,0.494004796,631.5
"285",1,1618.53105,-0.551460783,0.620630372,969
"286",1,1453.4193,-0.592870783,0.643738977,357
"287",1,1779.51565,-0.611914685,0.683686177,691
"288",1,1747.9162,-0.649046322,0.680746999,1304
"289",0,1689.76975,-0.796088374,0.872881356,708
"290",1,1064.17105,-0.529291154,0.57177854,1108
"291",1,872.76495,-0.591266376,0.528321318,633
"292",1,812.675,-0.537943159,0.621333333,627
"293",0,1733.99545,-0.703404501,0.589912939,2286
"294",0,1182.45075,-0.548770424,0.529933481,1922
"295",0,453.74315,-0.468609865,0.356963614,1969
"296",0,1805.11065,-0.645836299,0.627226463,2610
"297",0,729.01935,-0.494614162,0.309803922,2053
"298",0,683.80625,-0.431047363,0.356992639,1760
"299",1,977.6981,-0.435266352,0.646886447,536
"300",1,1442.1952,-0.645444391,0.881337648,819
"301",1,1450.15335,-0.65055159,0.856410256,721
"302",0,1856.09435,-0.721977876,0.70013245,2652
"303",0,1893.9297,-0.738755723,0.661907481,1871
"304",1,62.5223,-0.401459854,-0.038167939,77
"305",0,1526.651,-0.591876629,0.369863014,2979
"306",0,2768.85565,-0.753519047,0.787096774,2119
"307",0,908.92185,-0.440967877,0.557671382,2391
"308",0,1653.4351,-0.497359847,0.283824414,2715
"309",0,2060.7211,-0.749176277,0.368983957,2382.5
"310",0,2478.4858,-0.767282322,0.779564979,1468.5
"311",0,2284.09755,-0.75848905,0.335778593,2792
"312",0,2310.6598,-0.703973585,0.799897119,1933
"313",0,1471.5853,-0.648035771,0.675783192,1096
"314",0,2241.4198,-0.705271565,0.649816176,1393
"315",0,1492.60705,-0.448500652,0.640776699,1386
"316",0,118.71315,-0.282958199,-0.102564103,38
"317",0,1499.8465,-0.579927155,0.70259366,1574
"318",0,-11.2304,-0.088781275,-0.410526316,39
"319",0,-14.65645,-0.087181611,-0.419689119,32
"320",0,-13.87655,-0.095207938,-0.435356201,27
"321",0,-4.49055,-0.090295359,-0.429333333,40
"322",1,901.0366,-0.559145388,0.559343434,434.5
"323",1,-123.4513,-0.097591888,0.494505495,326.5
"324",1,569.63225,-0.590332805,0.509219858,854.5
"325",1,855.38805,-0.514902364,0.573151871,513.5
"326",0,-170.7332,0.076726343,0.49382716,301
"327",0,1017.26115,-0.771205084,0.547100847,1708
"328",0,-510.5261,0.157894737,0.493533584,201.5
"329",0,-263.31125,-0.197039778,0.403318443,673.5
"330",0,780.3676,-0.719543805,0.540306834,2477.5
"331",0,1039.9243,-0.695636751,0.522563418,1026
"332",1,949.20285,-0.536593826,0.451193059,269
"333",1,1415.81245,-0.556909578,0.540901503,353
"334",0,1166.7475,-0.641344047,0.350218341,1202
"335",1,952.2586,-0.480347538,0.397902529,219
"336",1,854.1314,-0.502334267,0.35557038,197.5
"337",1,886.8391,-0.526941917,0.545289855,317.5
"338",1,836.74935,-0.418128655,0.419799499,252.5
"339",1,1274.15335,-0.559545815,0.562691131,712.5
"340",1,975.53225,-0.543400713,0.396393081,474
"341",1,1184.28385,-0.500513875,0.518801244,555
"342",1,982.80315,-0.478723404,0.385281385,229.5
"343",1,1348.861,-0.557457847,0.522532588,436.5
"344",1,1110.7697,-0.542291221,0.460957179,336.5
"345",0,1480.44695,-0.561345813,0.470737913,401.5
"346",1,1480.44695,-0.561345813,0.470737913,401.5
"347",1,1549.96465,-0.535754568,0.434751773,690.5
"348",1,1624.3267,-0.533989471,0.433093525,511.5
"349",1,1406.5692,-0.539633421,0.492772668,758.5
"350",1,1356.5631,-0.537356322,0.431979128,632
"351",1,942.53275,-0.532150776,0.535280604,506
"352",1,1254.36585,-0.570314465,0.453809349,632
"353",1,969.19045,-0.533563483,0.419354839,254
"354",0,1918.06095,-0.748547279,0.512250283,1337
"355",0,767.53385,-0.596425212,0.438292732,1618.5
"356",1,1006.82305,-0.575581395,0.599695972,689.5
"357",1,1212.1239,-0.546556741,0.566753247,747
"358",1,1203.6525,-0.546445252,0.583987839,704
"359",1,1157.0968,-0.557215129,0.620771796,778
"360",1,1252.04405,-0.550184957,0.604497678,709
"361",1,901.35735,-0.472543892,0.468049515,464
"362",1,1003.27745,-0.551534225,0.458205391,637
"363",1,1211.45245,-0.54717962,0.376315789,418.5
"364",0,1167.37145,-0.658066345,0.508035865,1390.5
"365",0,1082.1284,-0.494138189,0.564784053,2274.5
"366",0,1900.67535,-0.72462406,0.542436687,2083
"367",0,1743.0813,-0.689096402,0.494046529,1768
"368",1,572.7386,-0.485325698,0.566409597,574.5
"369",0,945.94455,-0.673411228,0.490914135,2727
"370",0,1260.55375,-0.689042186,0.560904685,2070
"371",0,1461.86495,-0.73466304,0.582417582,1450.5
